Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1257;21100818512;"Journal of Enabling Technologies";journal;"23986263";"Emerald Group Publishing Ltd.";No;No;0,371;Q3;26;21;48;894;118;45;1,97;42,57;50,79;0;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2025";"Computer Science Applications (Q3); Health (social science) (Q3); Management of Technology and Innovation (Q3); Rehabilitation (Q3)";"Business, Management and Accounting; Computer Science; Medicine; Social Sciences"
1258;19700174656;"Automatika";journal;"00051144";"Taylor and Francis Ltd.";Yes;No;0,369;Q2;33;124;220;3917;608;220;2,93;31,59;36,50;0;44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2025";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
1259;130012;"IETE Journal of Research";journal;"0974780X, 03772063";"Taylor and Francis Ltd.";No;No;0,369;Q3;40;761;1271;24274;3013;1244;2,43;31,90;29,93;0;199;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-1975, 1979-1989, 1993-2025";"Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
1260;21100201505;"International Journal of Advances in Soft Computing and its Applications";journal;"20748523";"Al-Zaytoonah University of Jordan";Yes;No;0,369;Q3;26;53;136;1915;403;136;2,43;36,13;29,86;0;23;Jordan;Middle East;"Al-Zaytoonah University of Jordan";"2009-2025";"Computer Science Applications (Q3)";"Computer Science"
1261;21100944565;"Izvestiya Instituta Matematiki i Informatiki Udmurtskogo Gosudarstvennogo Universiteta";journal;"22263594, 24101737";"Udmurt State University";Yes;No;0,369;Q3;6;16;49;373;23;49;0,58;23,31;20,83;0;0;Russian Federation;Eastern Europe;"Udmurt State University";"2019-2024";"Computational Theory and Mathematics (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Mathematics"
1262;29089;"Photonic Network Communications";journal;"1387974X, 15728188";"Springer Netherlands";No;No;0,368;Q3;48;20;93;607;255;92;2,27;30,35;26,87;0;5;Netherlands;Western Europe;"Springer Netherlands";"1999-2025";"Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Software (Q3)";"Computer Science; Engineering; Physics and Astronomy"
1263;144684;"Proceedings - International Conference on Image Processing, ICIP";conference and proceedings;"15224880";"IEEE Computer Society";No;No;0,368;-;125;596;2364;15419;4327;2355;1,72;25,87;25,70;0;34;United States;Northern America;"IEEE Computer Society";"1994, 1997, 1999, 2004-2012, 2015-2024";"Computer Networks and Communications; Computer Vision and Pattern Recognition; Engineering (miscellaneous); Information Systems; Signal Processing; Software";"Computer Science; Engineering"
1264;145262;"Journal of the Brazilian Computer Society";journal;"01046500, 16784804";"Brazilian Computing Society";Yes;Yes;0,367;Q2;25;43;34;2361;86;34;1,41;54,91;25,66;0;11;Brazil;Latin America;"Brazilian Computing Society";"2000-2025";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1265;21101046369;"Brazilian Journal of Operations and Production Management";journal;"16798171, 22378960";"Associacao Brasileira de Engenharia de Producao";Yes;Yes;0,367;Q3;16;32;99;2004;227;96;1,81;62,63;28,74;0;22;Brazil;Latin America;"Associacao Brasileira de Engenharia de Producao";"2019-2025";"Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
1266;19700181218;"IEEE Latin America Transactions";journal;"15480992";"IEEE Computer Society";No;No;0,366;Q2;39;123;574;3811;1067;569;1,96;30,98;18,02;0;42;United States;Northern America;"IEEE Computer Society";"2003-2025";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1267;5300152203;"RIAI - Revista Iberoamericana de Automatica e Informatica Industrial";journal;"16977920, 16977912";"Universidad Politecnica de Valencia";Yes;Yes;0,366;Q2;22;35;136;1130;148;112;1,02;32,29;18,64;0;8;Spain;Western Europe;"Universidad Politecnica de Valencia";"2007-2025";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
1268;21101060167;"Software Impacts";journal;"26659638";"Elsevier B.V.";No;No;0,366;Q3;21;125;375;2341;730;375;1,78;18,73;20,82;0;27;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Software (Q3)";"Computer Science"
1269;21100934924;"ACM Transactions on Modeling and Performance Evaluation of Computing Systems";journal;"23763647, 23763639";"Association for Computing Machinery (ACM)";No;No;0,365;Q2;16;9;42;329;67;41;1,55;36,56;30,30;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"2016-2024";"Computer Science (miscellaneous) (Q2); Media Technology (Q2); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Safety, Risk, Reliability and Quality (Q3); Software (Q3)";"Computer Science; Engineering"
1270;25550;"Information Display";journal;"03620972, 2637496X";"Wiley-Blackwell";No;No;0,365;Q3;24;68;174;287;88;95;0,49;4,22;14,29;0;4;United States;Northern America;"Wiley-Blackwell";"1975-1977, 1986-1989, 1993-2025";"Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3)";"Computer Science; Engineering"
1271;21100858680;"Advances in Database Technology - EDBT";conference and proceedings;"23672005";"OpenProceedings.org";No;No;0,365;-;29;56;260;2107;258;247;0,88;37,63;22,08;0;2;Germany;Western Europe;"OpenProceedings.org";"2016-2024";"Computer Science Applications; Information Systems; Software";"Computer Science"
1272;21101083189;"CCF Transactions on High Performance Computing";journal;"25244930, 25244922";"Springer International Publishing";No;No;0,364;Q2;12;45;98;1531;238;90;2,80;34,02;26,73;0;2;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Computer Science (miscellaneous) (Q2); Computer Science Applications (Q3); Hardware and Architecture (Q3); Information Systems (Q3)";"Computer Science"
1273;21101172014;"Designs for Learning";journal;"20017480";"Stockholm University Press";Yes;No;0,364;Q3;7;0;27;0;37;26;1,38;0,00;0,00;0;0;Sweden;Western Europe;"Stockholm University Press";"2019-2023";"Cultural Studies (Q1); Linguistics and Language (Q1); Communication (Q2); Ecology (Q2); Developmental and Educational Psychology (Q3); Education (Q3); Human-Computer Interaction (Q3)";"Computer Science; Environmental Science; Psychology; Social Sciences"
1274;21101072200;"IET Cyber-systems and Robotics";journal;"26316315";"John Wiley and Sons Inc";Yes;No;0,364;Q3;13;23;92;958;167;89;1,38;41,65;25,29;0;4;United States;Northern America;"John Wiley and Sons Inc";"2019-2024";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Human-Computer Interaction (Q3); Information Systems (Q3)";"Computer Science"
1275;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";"SAGE Publications Ltd";No;No;0,364;Q3;89;619;3773;24600;7753;3763;1,71;39,74;35,62;0;150;Netherlands;Western Europe;"SAGE Publications Ltd";"1993-2024";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
1276;21101047137;"Springer Proceedings in Advanced Robotics";book series;"25111264, 25111256";"Springer Nature";No;No;0,364;Q3;29;318;460;4540;574;258;1,03;14,28;20,93;0;78;Switzerland;Western Europe;"Springer Nature";"2017-2024";"Engineering (miscellaneous) (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3)";"Computer Science; Engineering; Mathematics"
1277;145297;"Proceedings - International Symposium on Wearable Computers, ISWC";conference and proceedings;"15504816";"Association for Computing Machinery";No;No;0,363;-;61;0;31;0;78;30;2,60;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"2002-2012, 2014, 2017-2022";"Computer Networks and Communications; Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
1278;21101256227;"Iran Journal of Computer Science";journal;"25208438, 25208446";"Springer International Publishing";No;No;0,362;Q2;19;61;86;3347;239;85;2,66;54,87;18,94;0;13;Switzerland;Western Europe;"Springer International Publishing";"2018-2025";"Computer Science (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science"
1279;12100155655;"Journal of Location Based Services";journal;"17489725, 17489733";"Taylor and Francis Ltd.";No;No;0,362;Q3;30;22;42;1513;89;41;1,60;68,77;32,31;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2025";"Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Signal Processing (Q3)";"Computer Science; Engineering"
1280;21100898972;"Somatechnics";journal;"20440146, 20440138";"Edinburgh University Press";No;No;0,362;Q3;17;17;50;690;46;45;0,42;40,59;73,33;0;4;United Kingdom;Western Europe;"Edinburgh University Press";"2011-2024";"Anatomy (Q2); Arts and Humanities (miscellaneous) (Q2); Law (Q2); Sociology and Political Science (Q2); Human Factors and Ergonomics (Q3); Human-Computer Interaction (Q3)";"Arts and Humanities; Computer Science; Medicine; Social Sciences"
1281;23453;"Combinatorial Chemistry and High Throughput Screening";journal;"13862073, 18755402";"Bentham Science Publishers";No;No;0,361;Q3;73;256;610;14785;1071;587;1,74;57,75;42,20;1;133;United Arab Emirates;Middle East;"Bentham Science Publishers";"1998-2025";"Computer Science Applications (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3)";"Chemistry; Computer Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1282;4700151736;"International Journal for Multiscale Computational Engineering";journal;"15431649";"Begell House Inc.";No;No;0,361;Q3;35;35;91;1471;146;80;1,73;42,03;11,34;0;6;United States;Northern America;"Begell House Inc.";"2006-2025";"Computational Mechanics (Q2); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
1283;6100153019;"Service Oriented Computing and Applications";journal;"18632386, 18632394";"Springer London";No;No;0,361;Q3;33;64;69;2660;143;59;1,85;41,56;30,41;0;15;United Kingdom;Western Europe;"Springer London";"2007-2024";"Management Information Systems (Q2); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Business, Management and Accounting; Computer Science"
1284;22933;"Turkish Journal of Electrical Engineering and Computer Sciences";journal;"13000632, 13036203";"TUBITAK";Yes;No;0,360;Q2;45;51;443;2070;827;443;1,99;40,59;20,74;0;13;Turkey;Middle East;"TUBITAK";"1996-2025";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1285;4700152506;"NETNOMICS: Economic Research and Electronic Networking";journal;"15737071, 13859587";"Springer";No;No;0,360;Q3;20;0;3;0;7;3;0,00;0,00;0,00;0;0;United States;Northern America;"Springer";"2005, 2007-2021";"Computer Networks and Communications (Q3); Economics and Econometrics (Q3); Information Systems (Q3)";"Computer Science; Economics, Econometrics and Finance"
1286;4700152722;"Technical Services Quarterly";journal;"07317131";"Routledge";No;No;0,360;Q3;20;43;139;436;69;86;0,60;10,14;65,85;0;0;United States;Northern America;"Routledge";"1984-2025";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1287;21100243801;"Multisensory Research";journal;"22134808, 22134794";"Brill Academic Publishers";No;No;0,359;Q3;61;21;80;1357;124;80;1,53;64,62;45,30;0;2;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2024";"Computer Vision and Pattern Recognition (Q3); Experimental and Cognitive Psychology (Q3); Ophthalmology (Q3); Cognitive Neuroscience (Q4); Sensory Systems (Q4)";"Computer Science; Medicine; Neuroscience; Psychology"
1288;21100199814;"Cybernetics and Information Technologies";journal;"13119702, 13144081";"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences";Yes;Yes;0,358;Q2;27;32;135;1289;275;135;1,86;40,28;30,77;0;5;Bulgaria;Eastern Europe;"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences";"2011-2024";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1289;17900156721;"Journal of Electronic Resources Librarianship";journal;"1941126X, 19411278";"Routledge";No;No;0,358;Q3;16;39;89;759;56;54;0,56;19,46;64,29;0;3;United States;Northern America;"Routledge";"2008-2025";"Library and Information Sciences (Q2); Information Systems (Q3)";"Computer Science; Social Sciences"
1290;21100286806;"IEEE Design and Test";journal;"21682356";"IEEE Computer Society";No;No;0,357;Q3;87;85;262;856;403;230;1,60;10,07;20,31;0;11;United States;Northern America;"IEEE Computer Society";"2013-2025";"Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Software (Q3)";"Computer Science; Engineering"
1291;19700200870;"Intelligent Buildings International";journal;"17566932, 17508975";"Taylor and Francis Ltd.";No;No;0,357;Q3;31;17;109;601;206;92;1,32;35,35;32,35;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2025";"Geography, Planning and Development (Q2); Building and Construction (Q3); Civil and Structural Engineering (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Social Sciences"
1292;10900153307;"Journal of Simulation";journal;"17477778, 17477786";"Taylor and Francis Ltd.";No;No;0,356;Q3;34;85;114;4724;257;111;2,41;55,58;29,54;0;35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
1293;26738;"Microsystem Technologies";journal;"09467076";"Springer Verlag";No;No;0,356;Q3;78;253;803;8739;1858;768;2,12;34,54;24,04;0;68;Germany;Western Europe;"Springer Verlag";"1994-2025";"Condensed Matter Physics (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q3); Hardware and Architecture (Q3); Nanoscience and Nanotechnology (Q3)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
1294;21101260505;"ZTE Communications";journal;"16735188";"ZTE Communications";No;No;0,356;Q3;10;51;147;1367;215;135;1,59;26,80;25,36;0;4;China;Asiatic Region;"ZTE Communications";"2020-2024";"Communication (Q2); Computer Networks and Communications (Q3); Signal Processing (Q3)";"Computer Science; Social Sciences"
1295;4700152809;"Data Science Journal";journal;"16831470";"Ubiquity Press";Yes;No;0,355;Q2;31;49;100;1907;191;99;1,33;38,92;42,64;0;11;France;Western Europe;"Ubiquity Press";"2003, 2006-2025";"Computer Science (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science"
1296;144653;"Artificial Life and Robotics";journal;"14335298";"Springer Japan";No;No;0,355;Q3;25;73;263;1406;327;263;1,18;19,26;17,77;0;14;Japan;Asiatic Region;"Springer Japan";"1997-1998, 2000, 2005-2025";"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
1297;24175;"Constraints";journal;"15729354, 13837133";"Springer Netherlands";No;No;0,355;Q3;49;11;39;553;58;35;1,47;50,27;14,29;0;0;Netherlands;Western Europe;"Springer Netherlands";"1996-2024";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Software (Q3)";"Computer Science; Mathematics"
